actif;référence;ean13;id_product;id_product_attribute;description FR;description courte FR;nom FR;nom avec attributs FR;produits du pack;prix HT;prix TTC;tva;quantité;quantité physique;catégorie par défaut FR;catégorie par défaut (chemin complet) FR;catégories FR;catégories (chemin complet) FR;fabricant;images : urls_to_all_for_product FR
1;TEAN8056379071099ADD;8056379071099.0;24721;;;<ul><li>? 0</li></ul>;GIOCHI PREZIOSI RE LEONE - PELUCHE 20 CM CON SUONI (ASSORTIMENTO) MERCHANDISING;GIOCHI PREZIOSI RE LEONE - PELUCHE 20 CM CON SUONI (ASSORTIMENTO) MERCHANDISING;;17.08;20.5;20;1;1;Doudous et peluches;Accueil > Jeux et jouets > Doudous et peluches;Doudous et peluches;Accueil > Jeux et jouets > Doudous et peluches;;https://www.everforhome.com/90358/giochi-preziosi-re-leone-peluche-20-cm-con-suoni-assortimento-merchandising.jpg
1;EAN3262190350021;3262190350021.0;17732;;;<ul><li>? PERSONNALISE TES TEXTILES POUR UN LOOK TENDANCE ET COLORÉ - RECHARGE</li></ul>;DUJARDIN | TYPO PACK DE RECHARGES | 35002;DUJARDIN | TYPO PACK DE RECHARGES | 35002;;7.18;8.61;20;6;6;? Bijoux, perles et mode;Accueil > Jeux et jouets > Jeux créatifs > ? Bijoux, perles et mode;? Bijoux, perles et mode;Accueil > Jeux et jouets > Jeux créatifs > ? Bijoux, perles et mode;;https://www.everforhome.com/71011/dujardin-typo-pack-de-recharges-35002.jpg,https://www.everforhome.com/71012/dujardin-typo-pack-de-recharges-35002.jpg,https://www.everforhome.com/71013/dujardin-typo-pack-de-recharges-35002.jpg
1;TEAN4000826091042ADD;4000826091042.0;17725;;;<ul><li>? NORIS SPIELE 606049104 - GEWINN MIT </li><li>? KINDERSPIEL</li></ul>;JEU DE SOCIETE | LES 4 ALIGNES | LANGUE : ALLEMAND (IMPORT ALLEMAGNE);JEU DE SOCIETE | LES 4 ALIGNES | LANGUE : ALLEMAND (IMPORT ALLEMAGNE);;24.28;29.14;20;1;1;? Jeux d'ambiance, entres amis;Accueil > Jeux et jouets > Jeux de société > ? Jeux d'ambiance, entres amis;? Jeux d'ambiance, entres amis;Accueil > Jeux et jouets > Jeux de société > ? Jeux d'ambiance, entres amis;;https://www.everforhome.com/70981/jeu-de-societe-les-4-alignes-langue-allemand-import-allemagne.jpg,https://www.everforhome.com/70982/jeu-de-societe-les-4-alignes-langue-allemand-import-allemagne.jpg,https://www.everforhome.com/70983/jeu-de-societe-les-4-alignes-langue-allemand-import-allemagne.jpg,https://www.everforhome.com/70984/jeu-de-societe-les-4-alignes-langue-allemand-import-allemagne.jpg,https://www.everforhome.com/70985/jeu-de-societe-les-4-alignes-langue-allemand-import-allemagne.jpg,https://www.everforhome.com/70986/jeu-de-societe-les-4-alignes-langue-allemand-import-allemagne.jpg
1;TEAN9001890613470ADD;9001890613470.0;18214;;;<ul><li>? A PARTIR DE 16 ANS </li><li>? DURÉE DE JEU : 30-35 </li><li>? NOMBRE DE JOUEURS: 3 À 8 JOUEURS</li></ul>;PIATNIK 6134 ACTIVITY HOL THE HORST | VERSION ALLEMANDE;PIATNIK 6134 ACTIVITY HOL THE HORST | VERSION ALLEMANDE;;32.16;38.59;20;1;1;? Jeux d'ambiance, entres amis;Accueil > Jeux et jouets > Jeux de société > ? Jeux d'ambiance, entres amis;? Jeux d'ambiance, entres amis;Accueil > Jeux et jouets > Jeux de société > ? Jeux d'ambiance, entres amis;;https://www.everforhome.com/72730/piatnik-6134-activity-hol-the-horst-version-allemande.jpg,https://www.everforhome.com/72731/piatnik-6134-activity-hol-the-horst-version-allemande.jpg,https://www.everforhome.com/72732/piatnik-6134-activity-hol-the-horst-version-allemande.jpg,https://www.everforhome.com/72733/piatnik-6134-activity-hol-the-horst-version-allemande.jpg,https://www.everforhome.com/72734/piatnik-6134-activity-hol-the-horst-version-allemande.jpg
1;TEAN887961862676ADD;887961862676.0;24873;;;<ul><li>? 0</li></ul>;TSCHAKKA, ALPAKA!;TSCHAKKA, ALPAKA!;;32.68;39.22;20;2;2;? Jeux d'ambiance, entres amis;Accueil > Jeux et jouets > Jeux de société > ? Jeux d'ambiance, entres amis;? Jeux d'ambiance, entres amis;Accueil > Jeux et jouets > Jeux de société > ? Jeux d'ambiance, entres amis;;https://www.everforhome.com/90758/tschakka-alpaka.jpg,https://www.everforhome.com/90760/tschakka-alpaka.jpg,https://www.everforhome.com/90762/tschakka-alpaka.jpg,https://www.everforhome.com/90764/tschakka-alpaka.jpg
1;TEAN672552411100ADD;672552411100.0;18588;;;<ul><li>? CE JOUET PASSE DU VÉHICULE CLASSIQUE AU ROBOT ENTIÈREMENT ARTICULÉ. </li><li>? À PARTIR DE 5 ANS.</li></ul>;ADVENTURE FORCE CONVERTISSEUR CONVERTISSEUR DE VEHICULE CLASSIQUE EN ROBOT ENTIEREMENT MOBILE;ADVENTURE FORCE CONVERTISSEUR CONVERTISSEUR DE VEHICULE CLASSIQUE EN ROBOT ENTIEREMENT MOBILE;;33.25;39.9;20;1;1;? Robots;Accueil > Jeux et jouets > Figurines > ? Robots;? Robots;Accueil > Jeux et jouets > Figurines > ? Robots;;https://www.everforhome.com/74105/adventure-force-convertisseur-convertisseur-de-vehicule-classique-en-robot-entierement-mobile.jpg,https://www.everforhome.com/74106/adventure-force-convertisseur-convertisseur-de-vehicule-classique-en-robot-entierement-mobile.jpg
1;TEAN3217670103789ADD;3217670103789.0;20584;;;<ul><li>? TRÈS BELLE ROBE DE SORCIÈRE </li><li>? DÉGUISEMENT DE QUALITÉ </li><li>? IDÉAL POUR HALLOWEEN</li></ul>;CESAR | DÉGUISEMENT | D662 | 8/10 ANS;CESAR | DÉGUISEMENT | D662 | 8/10 ANS;;21.35;25.62;20;1;1;? Enfant;Accueil > Jeux et jouets > Déguisements > ? Enfant;? Enfant;Accueil > Jeux et jouets > Déguisements > ? Enfant;;https://www.everforhome.com/81402/cesar-deguisement-d662-8-10-ans.jpg,https://www.everforhome.com/81405/cesar-deguisement-d662-8-10-ans.jpg
1;T-EAN3380235179403;3286413033270.0;7286;;;<p>. Possibilité de Jouer seul ou avec des amis | Facile à utiliser: tirez les anneaux vers le haut pour les transformer en spirale | Glissez le bras à travers les anneaux à plat. Laissez-les long de votre bras ou passez-les à un ami. | Pour les replier, placez la paume de votre main sur la spirale et appuyez doucement en tournant légèrement.</p>;FERRY Bague Magique, 303327, Vert/Bleu/Rose/Violet;FERRY Bague Magique, 303327, Vert/Bleu/Rose/Violet;;10.27;12.32;20;5;5;? Accessoires;Accueil > Jeux et jouets > Déguisements > ? Accessoires;? Accessoires;Accueil > Jeux et jouets > Déguisements > ? Accessoires;;https://www.everforhome.com/27518/ferry-bague-magique-303327-vert-bleu-rose-violet.jpg,https://www.everforhome.com/27519/ferry-bague-magique-303327-vert-bleu-rose-violet.jpg,https://www.everforhome.com/27520/ferry-bague-magique-303327-vert-bleu-rose-violet.jpg,https://www.everforhome.com/27521/ferry-bague-magique-303327-vert-bleu-rose-violet.jpg,https://www.everforhome.com/27522/ferry-bague-magique-303327-vert-bleu-rose-violet.jpg,https://www.everforhome.com/27523/ferry-bague-magique-303327-vert-bleu-rose-violet.jpg
1;TEAN6940251619405ADD;6940251619405.0;16536;;;<ul><li>? ROBE </li><li>? BANDEAU </li><li>? LEGGINGS ET GANTS. </li><li>? DISPONIBLE EN XS 4?6 </li><li>? S 8?10 </li><li>? M 40?42 </li><li>? L 44?46 </li><li>? XL 50?53. </li><li>? NE PAS LAVER EN MACHINE </li><li>? LAVER À LA MAIN UNIQUEMENT.</li></ul>;KARNIVAL COSTUMES | CARNIVAL JESTER GIRL DÉGUISEMENT | WOMEN | 81243 | MULTICOLORE | MOYEN;KARNIVAL COSTUMES | CARNIVAL JESTER GIRL DÉGUISEMENT | WOMEN | 81243 | MULTICOLORE | MOYEN;;26.88;32.25;20;1;1;? Déguisements et accessoires;Accueil > Jeux et jouets > Jeux pour adulte > ? Déguisements et accessoires;? Déguisements et accessoires;Accueil > Jeux et jouets > Jeux pour adulte > ? Déguisements et accessoires;;https://www.everforhome.com/66254/karnival-costumes-carnival-jester-girl-deguisement-women-81243-multicolore-moyen.jpg,https://www.everforhome.com/66255/karnival-costumes-carnival-jester-girl-deguisement-women-81243-multicolore-moyen.jpg
1;TEAN9771277776134JADD;9771277776134.0;24859;;;<ul><li>? 0</li></ul>;LES AGRUMES DU JARDIN A L'ASSIETTE;LES AGRUMES DU JARDIN A L'ASSIETTE;;6.72;8.06;20;1;1;Livres;Accueil > Sports et loisirs > Livres;Livres;Accueil > Sports et loisirs > Livres;;https://www.everforhome.com/90732/les-agrumes-du-jardin-a-l-assiette.jpg
